#OTU ID	1003	1004	1027	1049	1053	1058	1077	1084	1087	1102	1105	111	1115	1131	1138	1171	1176	1185	1204	121	1214	1217	1229	1234	124	1262	1264	1271	1275	1295	1320	136	1368	1388	1406	1425	1487	1496	1498	1509	1517	1567	163	176	206	218	219	22	248	277	284	351	358	37	384	399	411	413	444	449	450	463	472	481	490	507	52	522	551	575	664	676	683	709	752	754	82	825	832	835	85	850	853	869	897	918	923	924	951	958	96	963	981	985	986
OTU1	73	55	268	1315	493	652	188	153	726	460	140	33	126	2457	858	1785	542	539	2174	15	4882	719	1241	1069	55	172	75	203	1957	1599	1162	18	1468	1131	2975	969	2156	3442	1579	2790	1383	2690	35	21	498	26	19	524	880	6163	2873	782	365	571	111	577	183	876	20349	2921	1709	1418	554	553	802	296	85	430	75	404	488	10	26	1716	1431	1106	365	822	430	679	138	503	462	704	542	115	282	1179	194	348	46	249	121	149	129
OTU10	0	10	9	9	1	2	7	7	36	2	0	0	4	96	5	17	11	1650	4	0	2	11	6556	2144	5	10	4	2	950	1014	6024	15822	1830	4782	23074	5749	668	533	298	933	2250	16387	15	13	646	6	3	11029	268	26	171	18	7	159	20	27	15253	23	85	179	442	2529	104	57	94	5778	1088	37	7484	13676	17415	2	19797	780	73	60	32	17	8	5	9	3	4	5	24	13	12	7	5	15	615	5	106	7	16
OTU100	5	5	5	39	1	49	13	17	37	24	7	10	17	218	132	218	75	33	51	7	276	160	1	0	9	5	20	3	33	10	0	0	9	8	2	3	16	8	19	26	2	11	3	0	2	15	5	0	54	17	19	28	11	42	7	13	1	4	46	14	19	1	17	24	43	0	0	24	1	1	5	0	0	39	9	28	16	260	10	70	4	29	73	296	39	2	7	17	10	5	0	4	43	17	20
OTU1000	0	0	1	13	3	16	2	1	4	9	3	2	3	17	4	7	8	5	11	0	20	2	13	7	2	7	2	6	1	0	1	0	0	4	3	2	4	1	4	4	0	6	9	1	10	2	5	0	10	0	2	16	13	8	10	40	0	3	43	6	28	2	4	9	13	1	20	4	0	1	4	0	0	8	2	0	14	10	2	9	6	7	6	5	1	0	1	8	0	0	51	0	0	0	5
OTU1001	0	1	1	6	4	6	0	1	3	7	3	1	3	3	5	2	1	0	6	2	5	4	0	0	2	4	5	3	0	0	0	0	0	0	0	0	0	0	1	0	1	0	2	1	0	5	11	2	3	1	0	25	5	9	9	8	0	5	2	6	8	0	2	0	1	0	0	1	0	0	0	0	0	11	7	0	8	3	14	20	5	19	9	22	18	3	7	1	0	0	0	0	0	1	3
OTU1002	0	0	0	9	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	2	0	0	0	0	0	0	0	2	0	0	0
OTU1003	0	0	1	1	4	1	5	0	2	0	0	0	1	3	1	0	0	1	0	0	0	0	0	0	0	16	10	0	3	1	0	0	3	1	1	0	2	0	2	2	7	3	0	0	0	22	0	6	0	0	4	1	30	0	0	5	0	38	0	37	21	0	2	0	0	0	0	0	0	0	0	0	0	7	15	0	9	0	18	14	1	0	4	1	5	14	0	0	0	1	2	0	0	0	0
OTU1004	3	1	6	3	2	4	1	5	1	0	0	2	0	4	2	4	1	2	4	0	1	0	0	0	0	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	7	0	4	3	3	1	1	0	3	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	1	0	0	0	2	7	0	5	0	10	30	0	14	27	7	13
OTU1005	4	4	5	8	4	6	0	0	2	2	4	2	1	9	1	4	5	2	9	1	4	12	0	1	4	7	5	11	4	3	2	1	12	9	1	1	8	5	7	15	3	7	4	6	20	7	4	16	21	6	3	13	27	27	12	12	2	31	4	74	55	4	11	9	14	0	8	9	6	2	1	0	0	23	4	0	15	6	12	23	6	13	15	12	7	1	8	4	3	1	3	1	0	8	0
OTU1006	0	0	0	1	0	1	0	0	0	1	0	0	0	58	0	17	1	6	10	0	100	6	11	5	0	0	0	0	0	0	0	0	2	5	2	13	2	0	4	1	1	5	2	1	13	0	0	6	3	6	0	2	0	8	0	2	0	0	7	0	2	13	1	3	0	2	15	7	0	0	8	0	0	1	1	0	0	1	0	1	0	0	3	2	2	0	0	0	1	0	0	0	0	0	0
